fid,lat,lon
1,0.00005387,0.00000000
2,0.00006435,0.00000000
3,0.00006958,0.00000000
4,0.00007482,0.00000000
5,0.00008006,0.00000000
6,0.00008530,0.00000000
7,0.00009053,0.00000000
8,0.00009577,0.00000000
9,0.00010101,0.00000000
10,0.00010625,0.00000000
11,0.00011148,0.00000000
12,0.00011672,0.00000000
13,0.00012196,0.00000000
14,0.00012720,0.00000000
15,0.00013243,0.00000000
16,0.00013767,0.00000000
17,0.00014291,0.00000000
18,0.00014814,0.00000000
19,0.00015338,0.00000000
20,0.00015862,0.00000000
21,0.00016386,0.00000000
22,0.00016909,0.00000000
23,0.00017433,0.00000000
24,0.00017957,0.00000000
25,0.00017957,0.00000000
26,0.00017957,0.00000748
27,0.00017957,0.00001497
28,0.00017957,0.00002245
29,0.00017957,0.00002993
30,0.00017957,0.00003742
31,0.00017957,0.00004490
32,0.00017957,0.00005238
33,0.00017957,0.00005987
34,0.00017957,0.00006735
35,0.00017957,0.00007483
36,0.00017957,0.00008232
37,0.00017957,0.00008980
38,0.00017957,0.00009728
39,0.00017957,0.00010477
40,0.00017957,0.00011225
41,0.00017957,0.00011973
42,0.00017957,0.00012722
43,0.00017957,0.00013470
44,0.00017957,0.00014218
45,0.00017957,0.00014967
46,0.00017957,0.00015715
47,0.00017957,0.00016463
48,0.00017957,0.00017212
49,0.00017957,0.00017960
50,0.00017957,0.00017960
51,0.00017433,0.00017960
52,0.00016910,0.00017960
53,0.00016386,0.00017960
54,0.00015862,0.00017960
55,0.00015338,0.00017960
56,0.00014814,0.00017960
57,0.00014291,0.00017960
58,0.00013767,0.00017960
59,0.00013243,0.00017960
60,0.00012720,0.00017960
61,0.00012196,0.00017960
62,0.00011672,0.00017960
63,0.00011148,0.00017960
64,0.00010625,0.00017960
65,0.00010101,0.00017960
66,0.00009577,0.00017960
67,0.00009053,0.00017960
68,0.00008530,0.00017960
69,0.00008006,0.00017960
70,0.00007482,0.00017960
71,0.00006958,0.00017960
72,0.00006435,0.00017960
73,0.00005911,0.00017960
74,0.00005387,0.00017960
75,0.00005387,0.00017960
76,0.00005387,0.00017212
77,0.00005387,0.00016463
78,0.00005387,0.00015715
79,0.00005387,0.00014967
80,0.00005387,0.00014218
81,0.00005387,0.00013470
82,0.00005387,0.00012722
83,0.00005387,0.00011973
84,0.00005387,0.00011225
85,0.00005387,0.00010477
86,0.00005387,0.00009728
87,0.00005387,0.00008980
88,0.00005387,0.00008232
89,0.00005387,0.00007483
90,0.00005387,0.00006735
91,0.00005387,0.00005987
92,0.00005387,0.00005238
93,0.00005387,0.00004490
94,0.00005387,0.00003742
95,0.00005387,0.00002993
96,0.00005387,0.00002245
97,0.00005387,0.00001497
98,0.00005387,0.00000748
99,0.00005387,0.00000000
